Team,Possession,Shots on target,Shots,Touches,Passes,Tackles,Clearances,Corners,Offsides,Goal,Year,Home,Result
Wigan Athletic,63.6,5,19,750,581,16,17,8,4,1,2012,1,0
Fulham,36.4,7,12,509,320,9,34,7,0,2,2012,0,1
Liverpool,52.0,6,14,657,459,23,19,7,0,1,2012,1,0
Manchester United,48.0,3,8,636,420,29,44,3,1,2,2012,0,1
Manchester City,41.2,6,15,637,433,38,22,9,1,1,2012,1,2
Arsenal,58.8,4,11,869,638,23,27,4,1,1,2012,0,2
Newcastle United,52.8,6,18,642,430,17,45,4,3,1,2012,1,1
Norwich City,47.2,3,10,553,368,15,33,5,1,0,2012,0,0
Tottenham Hotspur,43.3,8,20,580,336,19,57,10,2,2,2012,1,1
Queens Park Rangers,56.7,4,9,655,459,18,31,9,3,1,2012,0,0
Arsenal,51.4,4,16,690,470,30,19,6,4,1,2012,1,0
Chelsea,48.6,3,10,664,459,26,28,5,3,2,2012,0,1
Everton,52.4,8,22,723,482,16,25,10,6,3,2012,1,1
Southampton,47.6,5,10,652,441,26,33,3,2,1,2012,0,0
Fulham,28.9,3,7,466,276,15,28,2,1,1,2012,1,0
Manchester City,71.1,7,23,888,726,13,16,4,2,2,2012,0,1
Manchester United,74.1,7,16,897,701,24,20,9,2,2,2012,1,0
Tottenham Hotspur,25.9,3,10,483,243,28,73,5,2,3,2012,0,1
Norwich City,32.9,4,16,475,320,21,17,5,2,2,2012,1,0
Liverpool,67.1,5,16,901,700,11,30,5,5,5,2012,0,1
Reading,47.4,5,16,579,348,21,30,6,3,2,2012,1,2
Newcastle United,52.6,2,9,663,409,22,80,3,1,2,2012,0,2
Stoke City,39.0,5,12,517,313,24,29,6,0,2,2012,1,1
Swansea City,61.0,3,10,737,519,20,47,8,1,0,2012,0,0
Sunderland,49.8,1,10,578,382,16,22,8,2,1,2012,1,1
Wigan Athletic,50.2,3,10,559,404,21,27,1,0,0,2012,0,0
Aston Villa,57.4,3,21,634,422,19,16,11,3,1,2012,1,2
West Bromwich Albion,42.6,3,14,547,322,26,54,4,3,1,2012,0,2
Queens Park Rangers,50.5,7,13,610,355,19,73,4,1,1,2012,1,0
West Ham United,49.5,5,18,584,334,21,51,13,1,2,2012,0,1
Chelsea,68.9,9,23,899,731,11,15,10,2,4,2012,1,1
Norwich City,31.1,2,8,495,317,17,37,2,1,1,2012,0,0
Manchester City,60.5,9,28,739,529,15,29,15,2,3,2012,1,1
Sunderland,39.5,4,8,536,339,17,30,4,3,0,2012,0,0
Swansea City,71.5,10,26,803,600,16,36,11,2,2,2012,1,2
Reading,28.5,5,9,440,224,19,43,3,5,2,2012,0,2
West Bromwich Albion,44.9,5,14,555,382,22,23,2,3,3,2012,1,1
Queens Park Rangers,55.1,3,13,666,463,17,25,5,4,2,2012,0,0
West Ham United,31.3,3,9,456,266,15,49,4,1,1,2012,1,0
Arsenal,68.7,7,21,803,606,21,27,16,1,3,2012,0,1
Wigan Athletic,46.1,3,11,529,340,16,41,7,2,2,2012,1,2
Everton,53.9,7,17,583,401,8,20,6,1,2,2012,0,2
Liverpool,62.9,2,18,733,525,13,32,5,0,0,2012,1,2
Stoke City,37.1,2,6,500,296,25,42,5,2,0,2012,0,2
Newcastle United,45.5,2,15,638,422,11,23,8,0,0,2012,1,0
Manchester United,54.5,8,13,729,529,32,53,6,2,3,2012,0,1
Southampton,41.9,4,14,573,365,22,43,8,4,2,2012,1,2
Fulham,58.1,3,13,735,521,12,40,8,0,2,2012,0,2
Tottenham Hotspur,55.9,6,22,687,455,18,46,8,1,2,2012,1,1
Aston Villa,44.1,3,8,550,360,17,27,0,3,0,2012,0,0
Fulham,50.7,5,19,678,455,8,36,6,2,1,2012,1,1
Aston Villa,49.3,1,12,652,451,18,40,4,2,0,2012,0,0
Liverpool,56.8,7,27,729,497,22,35,6,3,1,2012,1,1
Reading,43.2,3,10,584,366,22,22,5,3,0,2012,0,0
Manchester United,64.0,7,16,803,625,11,39,3,3,4,2012,1,1
Stoke City,36.0,3,9,485,336,17,15,4,0,2,2012,0,0
Norwich City,28.0,3,7,436,244,26,31,2,4,1,2012,1,1
Arsenal,72.0,5,14,862,669,14,23,10,4,0,2012,0,0
Swansea City,47.6,8,20,620,427,14,15,9,1,2,2012,1,1
Wigan Athletic,52.4,6,11,648,486,14,27,2,4,1,2012,0,0
Tottenham Hotspur,42.2,10,26,587,344,21,44,7,1,2,2012,1,0
Chelsea,57.8,7,10,709,493,20,37,4,5,4,2012,0,1
West Bromwich Albion,43.9,4,17,507,353,17,22,6,0,1,2012,1,0
Manchester City,56.1,8,24,636,451,10,32,9,1,2,2012,0,1
West Ham United,38.7,6,11,475,283,24,43,6,3,4,2012,1,1
Southampton,61.3,2,11,667,472,18,28,3,6,1,2012,0,0
Queens Park Rangers,57.0,5,15,664,431,15,29,5,4,1,2012,1,2
Everton,43.0,3,16,522,329,19,31,4,3,1,2012,0,2
Sunderland,65.5,2,21,689,451,26,23,8,3,1,2012,1,2
Newcastle United,34.5,5,11,474,241,24,59,4,0,1,2012,0,2
Arsenal,66.5,9,22,809,599,21,14,5,1,1,2012,1,1
Queens Park Rangers,33.5,2,6,508,294,21,32,2,7,0,2012,0,0
Aston Villa,41.5,4,7,524,330,16,45,3,2,1,2012,1,2
