Team,Possession,Shots on target,Shots,Touches,Passes,Tackles,Clearances,Corners,Offsides,Goal,Year,Home,Result
West Bromwich Albion,42.0,1,14,542,348,15,33,6,0,0,2012,0,0
Norwich City,46.4,4,11,580,390,20,29,4,3,3,2012,1,0
Manchester City,53.6,7,15,672,466,19,31,9,1,4,2012,0,1
Reading,33.8,2,3,423,214,18,52,2,5,1,2012,1,1
West Ham United,66.2,3,13,621,417,23,21,2,3,0,2012,0,0
Stoke City,54.9,5,13,591,348,14,34,7,2,3,2012,1,2
Southampton,45.1,5,8,539,284,21,68,4,4,3,2012,0,2
Sunderland,44.7,4,8,576,359,23,22,3,2,1,2012,1,0
Tottenham Hotspur,55.3,8,17,685,448,18,51,8,1,2,2012,0,1
Everton,48.0,6,14,586,349,14,41,7,5,1,2012,1,0
Chelsea,52.0,5,17,622,411,16,49,7,4,2,2012,0,1
Queens Park Rangers,33.5,6,14,529,302,27,28,1,3,0,2012,1,0
Liverpool,66.5,7,19,820,614,26,13,9,0,3,2012,0,1
Manchester City,61.6,6,20,750,567,13,22,7,0,3,2012,1,1
Stoke City,38.4,1,5,523,346,22,39,2,1,0,2012,0,0
Southampton,44.1,5,9,652,413,24,30,3,4,1,2012,1,2
Arsenal,55.9,1,6,766,538,27,31,3,3,1,2012,0,2
Swansea City,69.5,6,25,804,587,16,28,3,2,2,2012,1,2
Aston Villa,30.5,5,9,508,252,18,93,2,2,2,2012,0,2
Tottenham Hotspur,68.0,11,34,814,611,13,32,12,2,3,2012,1,1
Reading,32.0,3,7,455,281,16,31,3,4,1,2012,0,0
West Bromwich Albion,44.7,4,18,592,380,17,23,10,2,1,2012,1,0
Fulham,55.3,3,10,723,504,26,40,5,2,2,2012,0,1
West Ham United,50.5,5,16,602,384,13,49,11,1,2,2012,1,1
Norwich City,49.5,2,8,597,388,14,42,3,5,1,2012,0,0
Wigan Athletic,52.8,0,8,687,517,20,19,1,2,0,2012,1,0
Manchester United,47.2,7,15,627,449,21,17,6,4,4,2012,0,1
Chelsea,63.9,2,26,741,529,10,21,14,1,0,2012,1,0
Queens Park Rangers,36.1,3,7,500,297,19,26,2,4,1,2012,0,1
Liverpool,66.2,10,29,825,620,18,25,9,7,3,2012,1,1
Sunderland,33.8,2,8,479,303,19,32,5,0,0,2012,0,0
Newcastle United,50.5,5,17,591,378,23,49,4,1,1,2012,1,0
Everton,49.5,6,13,568,355,15,42,6,5,2,2012,0,1
Aston Villa,51.0,5,16,599,354,20,40,9,3,0,2012,1,0
Southampton,49.0,4,15,615,340,15,58,5,1,1,2012,0,1
Everton,55.3,5,18,712,513,11,25,7,3,0,2012,1,2
Swansea City,44.7,3,4,619,424,17,50,1,1,0,2012,0,2
Fulham,49.2,2,12,663,443,13,26,6,2,1,2012,1,2
Wigan Athletic,50.8,7,16,643,466,23,28,8,0,1,2012,0,2
Norwich City,54.7,2,12,673,455,20,25,5,4,0,2012,1,2
Newcastle United,45.3,2,8,603,378,17,74,4,0,0,2012,0,2
Queens Park Rangers,38.1,0,4,559,353,31,20,2,2,0,2012,1,2
Tottenham Hotspur,61.9,7,18,803,585,26,31,6,1,0,2012,0,2
Reading,57.5,7,8,658,447,9,42,8,2,3,2012,1,1
West Bromwich Albion,42.5,3,12,543,339,22,54,4,2,2,2012,0,0
Stoke City,43.4,5,12,509,319,14,31,6,3,0,2012,1,0
Chelsea,56.6,6,13,630,428,14,42,7,1,4,2012,0,1
Sunderland,48.0,7,18,590,384,24,32,4,5,3,2012,1,1
West Ham United,52.0,3,11,630,414,18,41,5,2,0,2012,0,0
Arsenal,40.0,3,9,572,375,13,21,2,3,0,2012,1,0
Manchester City,60.0,6,18,766,585,16,27,7,2,2,2012,0,1
Manchester United,46.0,5,15,615,404,25,28,3,1,2,2012,1,1
Liverpool,54.0,3,13,689,487,31,28,1,1,1,2012,0,0
Chelsea,58.6,3,18,773,593,13,23,4,3,2,2012,1,2
Southampton,41.4,2,6,610,400,21,44,3,3,2,2012,0,2
Liverpool,67.7,9,18,875,694,12,20,9,2,5,2012,1,1
Norwich City,32.3,1,4,481,318,21,28,4,1,0,2012,0,0
Manchester City,45.5,7,20,646,468,27,22,1,2,2,2012,1,1
Fulham,54.5,0,2,731,549,19,14,2,1,0,2012,0,0
Newcastle United,55.6,7,16,674,445,14,48,6,4,1,2012,1,0
Reading,44.4,2,7,583,369,19,43,2,1,2,2012,0,1
Swansea City,56.1,3,15,726,515,14,48,7,2,3,2012,1,1
Stoke City,43.9,2,10,561,402,12,22,6,0,1,2012,0,0
West Bromwich Albion,57.4,6,29,580,374,17,27,8,2,2,2012,1,2
Aston Villa,42.6,6,15,503,264,16,44,8,3,2,2012,0,2
West Ham United,69.6,9,23,696,458,13,13,12,2,1,2012,1,2
Queens Park Rangers,30.4,2,9,461,204,30,70,2,5,1,2012,0,2
Wigan Athletic,70.4,6,23,794,623,12,5,9,2,2,2012,1,0
Sunderland,29.6,5,11,446,257,18,36,0,1,3,2012,0,1
Chelsea,50.3,7,14,643,415,38,30,3,5,2,2012,1,1
Arsenal,49.7,6,12,647,394,24,30,9,5,1,2012,0,0
Tottenham Hotspur,51.0,8,25,624,384,19,31,9,1,1,2012,1,2
Manchester United,49.0,2,5,620,390,16,40,4,7,1,2012,0,2
Southampton,53.4,4,16,696,450,21,40,10,1,0,2012,1,2
Everton,46.6,5,9,608,387,20,26,6,3,0,2012,0,2
Arsenal,69.1,10,24,814,618,16,26,13,2,5,2012,1,1
West Ham United,30.9,4,10,484,271,14,42,5,5,1,2012,0,0
Aston Villa,51.7,5,12,606,359,17,70,3,2,1,2012,1,0
Newcastle United,48.3,3,12,569,327,20,65,4,2,2,2012,0,1
Queens Park Rangers,31.3,1,6,497,269,20,46,2,1,0,2012,1,2
Manchester City,68.7,4,17,793,603,16,12,10,1,0,2012,0,2
Stoke City,36.9,3,10,467,299,13,18,0,1,2,2012,1,2
Wigan Athletic,63.1,6,13,713,530,8,19,1,4,2,2012,0,2
Sunderland,36.1,0,3,538,341,22,22,3,1,0,2012,1,2
Swansea City,63.9,4,17,841,628,15,35,4,1,0,2012,0,2
Arsenal,61.8,6,19,825,599,23,19,8,1,2,2012,1,2
Liverpool,38.2,5,13,599,373,28,40,6,3,2,2012,0,2
Everton,55.9,6,16,687,492,16,23,5,2,2,2012,1,1
West Bromwich Albion,44.1,2,7,563,377,25,30,2,6,1,2012,0,0
Fulham,44.0,5,18,586,313,37,73,2,2,3,2012,1,1
West Ham United,56.0,4,12,644,377,23,48,8,2,1,2012,0,0
Manchester United,42.7,5,11,617,398,17,53,4,3,2,2012,1,1
Southampton,57.3,4,20,718,536,21,13,8,1,1,2012,0,0
Norwich City,41.6,1,9,522,324,28,34,3,3,1,2012,1,2
Tottenham Hotspur,58.4,4,13,678,445,14,53,6,0,1,2012,0,2
Reading,32.4,2,5,450,271,16,50,0,4,2,2012,1,2
Chelsea,67.6,4,15,762,596,14,28,6,5,2,2012,0,2
Arsenal,65.4,5,23,833,620,10,28,11,2,1,2012,1,1
Stoke City,34.6,1,7,500,321,12,35,1,2,0,2012,0,0
Everton,68.3,8,21,646,426,18,29,15,5,3,2012,1,2
Aston Villa,31.7,3,8,460,204,18,92,2,5,3,2012,0,2
Fulham,44.8,6,16,575,360,21,35,5,2,0,2012,1,0
Manchester United,55.2,7,16,675,437,20,59,8,7,1,2012,0,1
Newcastle United,45.8,11,21,645,392,21,56,5,3,3,2012,1,1
Chelsea,54.2,5,17,688,472,15,40,4,0,2,2012,0,0
Queens Park Rangers,49.7,5,16,595,332,25,46,10,2,0,2012,1,2
Norwich City,50.3,6,13,564,342,24,36,8,1,0,2012,0,2
Reading,48.6,3,11,551,332,12,42,6,1,2,2012,1,1
Sunderland,51.4,6,12,547,352,24,41,8,3,1,2012,0,0
West Ham United,35.9,7,16,523,302,14,62,5,2,1,2012,1,1
Swansea City,64.1,3,10,789,560,21,44,3,4,0,2012,0,0
Wigan Athletic,45.4,3,7,636,386,24,31,8,3,2,2012,1,2
Southampton,54.6,2,17,742,471,23,30,5,2,2,2012,0,2
Manchester City,45.7,3,11,619,419,22,29,9,0,2,2012,1,2
Liverpool,54.3,5,22,709,511,19,18,10,2,2,2012,0,2
West Bromwich Albion,30.3,3,5,438,263,20,30,2,6,0,2012,1,0
Tottenham Hotspur,69.7,7,21,830,610,11,29,17,2,1,2012,0,1
Chelsea,53.0,12,27,677,472,14,16,10,2,4,2012,1,1
Wigan Athletic,47.0,6,14,619,415,21,21,6,3,1,2012,0,0
Norwich City,43.1,4,15,579,407,14,21,3,2,0,2012,1,2
Fulham,56.9,1,7,726,541,24,33,4,0,0,2012,0,2
Southampton,44.3,4,15,670,410,24,54,6,6,3,2012,1,1
Manchester City,55.7,4,8,741,506,20,38,6,3,1,2012,0,0
Stoke City,58.1,6,12,617,411,19,28,11,0,2,2012,1,1
Reading,41.9,2,7,539,311,11,56,3,2,1,2012,0,0
Sunderland,38.7,6,15,540,336,14,10,11,5,0,2012,1,0
Arsenal,61.3,8,19,803,605,19,50,2,1,1,2012,0,1
Swansea City,62.5,9,15,797,599,17,23,5,3,4,2012,1,1
Queens Park Rangers,37.5,4,18,537,354,17,17,2,0,1,2012,0,0
Tottenham Hotspur,54.3,5,18,673,426,28,56,11,4,2,2012,1,1
Newcastle United,45.7,3,10,591,350,15,45,5,2,1,2012,0,0
Aston Villa,48.2,3,10,614,361,32,54,4,5,2,2012,1,1
West Ham United,51.8,4,15,601,366,25,33,10,3,1,2012,0,0
Manchester United,47.0,6,11,659,434,20,42,7,4,2,2012,1,1
Everton,53.0,2,11,692,490,22,22,6,1,0,2012,0,0
Liverpool,58.5,7,25,741,529,19,24,13,4,0,2012,1,0
West Bromwich Albion,41.5,3,5,589,377,24,32,5,1,2,2012,0,1
Liverpool,54.3,10,35,730,555,14,8,10,1,5,2012,1,1
Swansea City,45.7,2,3,643,459,16,35,1,3,0,2012,0,0
Arsenal,63.9,7,26,821,599,19,20,12,3,2,2012,1,1
Aston Villa,36.1,3,8,556,339,17,49,3,3,1,2012,0,0
Fulham,60.7,4,20,726,513,13,41,9,1,1,2012,1,1
Stoke City,39.3,3,10,513,322,21,28,4,2,0,2012,0,0
Norwich City,44.8,5,10,588,397,17,26,7,2,2,2012,1,1
Everton,55.2,3,15,709,502,19,45,5,2,1,2012,0,0
Queens Park Rangers,48.4,3,14,633,405,23,27,2,1,0,2012,1,0
Manchester United,51.6,6,14,660,440,23,35,4,2,2,2012,0,1
Reading,29.9,0,7,433,270,23,20,2,1,0,2012,1,0
Wigan Athletic,70.1,7,17,849,660,11,33,9,1,3,2012,0,1
West Bromwich Albion,58.9,6,19,677,487,22,28,5,0,2,2012,1,1
Sunderland,41.1,5,13,545,317,12,40,5,3,1,2012,0,0
Manchester City,47.0,6,15,627,416,20,48,6,2,2,2012,1,1
Chelsea,53.0,2,9,666,461,17,25,6,1,0,2012,0,0
Newcastle United,41.4,4,14,543,308,22,45,7,5,4,2012,1,1
Southampton,58.6,3,11,683,449,27,40,3,3,2,2012,0,0
West Ham United,38.3,6,14,505,282,25,38,6,2,2,2012,1,0
Tottenham Hotspur,61.7,13,27,712,468,17,52,12,2,3,2012,0,1
Chelsea,52.9,9,24,658,470,18,21,9,2,1,2012,1,1
West Bromwich Albion,47.1,3,7,585,419,18,20,7,1,0,2012,0,0
Everton,60.0,12,21,677,432,16,51,9,1,3,2012,1,1
Reading,40.0,5,14,490,270,19,33,10,4,1,2012,0,0
Manchester United,65.0,7,19,838,665,11,18,7,3,4,2012,1,1
Norwich City,35.0,0,1,512,361,21,17,3,2,0,2012,0,0
Southampton,67.0,7,21,800,562,22,25,6,3,1,2012,1,0
Queens Park Rangers,33.0,3,7,502,275,14,45,3,1,2,2012,0,1
Stoke City,52.1,2,9,538,331,25,31,4,2,0,2012,1,0
West Ham United,47.9,3,12,553,305,21,61,2,3,1,2012,0,1
Sunderland,49.5,5,18,614,406,21,16,7,3,2,2012,1,2
Fulham,50.5,5,10,650,439,19,45,3,1,2,2012,0,2
Swansea City,63.1,6,12,798,567,23,51,7,1,1,2012,1,1
Newcastle United,36.9,5,17,525,317,14,29,7,1,0,2012,0,0
Wigan Athletic,52.1,6,14,723,523,20,11,4,0,0,2012,1,0
Liverpool,47.9,6,8,682,480,25,30,3,4,4,2012,0,1
Tottenham Hotspur,39.5,4,11,517,328,21,35,4,5,2,2012,1,1
Arsenal,60.5,2,11,697,504,14,19,6,2,1,2012,0,0
Aston Villa,47.2,1,10,631,416,16,29,6,3,0,2012,1,0
Manchester City,52.8,8,20,670,475,24,32,5,1,1,2012,0,1
Norwich City,40.9,2,6,497,280,21,27,1,5,0,2012,1,2
Southampton,59.1,5,15,660,413,23,42,7,2,0,2012,0,2
Queens Park Rangers,49.7,6,15,592,351,31,51,4,0,3,2012,1,1
Sunderland,50.3,2,9,580,349,20,42,5,2,1,2012,0,0
Reading,41.5,3,9,491,285,9,27,6,2,1,2012,1,0
Aston Villa,58.5,4,19,684,454,18,63,1,1,2,2012,0,1
West Bromwich Albion,44.2,5,14,613,451,19,11,3,1,2,2012,1,1
Swansea City,55.8,2,11,776,572,15,35,3,4,1,2012,0,0
Liverpool,46.5,4,12,611,397,27,28,1,6,3,2012,1,1
Tottenham Hotspur,53.5,7,16,679,452,33,24,4,0,2,2012,0,0
Newcastle United,56.2,4,16,623,399,19,42,14,1,2,2012,1,1
Stoke City,43.8,4,8,521,313,21,31,4,3,1,2012,0,0
Aston Villa,60.1,6,13,653,467,14,23,9,3,3,2012,1,1
Queens Park Rangers,39.9,7,21,494,313,22,29,6,2,2,2012,0,0
Everton,40.6,3,12,508,270,20,29,13,3,2,2012,1,1
Manchester City,59.4,8,20,636,435,10,36,6,0,0,2012,0,0
Manchester United,56.8,4,16,667,461,20,45,5,0,1,2012,1,1
Reading,43.2,0,6,536,338,22,32,4,1,0,2012,0,0
Southampton,47.9,11,18,620,386,15,27,7,0,3,2012,1,1
Liverpool,52.1,5,10,642,435,21,36,5,6,1,2012,0,0
Stoke City,48.5,1,17,529,342,18,21,7,2,0,2012,1,2
West Bromwich Albion,51.5,4,9,565,376,9,41,1,2,0,2012,0,2
Swansea City,56.9,0,9,804,618,16,28,3,3,0,2012,1,0
Arsenal,43.1,6,16,629,454,13,8,7,1,2,2012,0,1
Chelsea,63.8,11,24,737,539,13,31,5,1,2,2012,1,1
West Ham United,36.2,5,13,494,282,17,44,5,0,0,2012,0,0
Sunderland,65.1,6,15,646,451,16,30,5,3,1,2012,1,2
Norwich City,34.9,1,8,456,231,16,45,9,1,1,2012,0,2
Tottenham Hotspur,59.5,3,15,729,503,13,36,5,1,0,2012,1,0
Fulham,40.5,2,7,570,344,20,40,5,4,1,2012,0,1
Wigan Athletic,49.8,4,16,618,417,21,21,7,1,2,2012,1,1
Newcastle United,50.2,2,9,653,427,21,29,3,6,1,2012,0,0
Arsenal,70.1,6,26,860,673,11,14,11,3,4,2012,1,1
Reading,29.9,2,5,461,276,19,39,3,1,1,2012,0,0
Everton,54.0,6,18,619,397,15,43,4,1,1,2012,1,1
Stoke City,46.0,3,11,553,330,26,37,3,2,0,2012,0,0
Manchester City,63.6,9,21,733,544,14,23,9,6,4,2012,1,1
Newcastle United,36.4,1,5,505,303,16,47,2,3,0,2012,0,0
Southampton,50.8,4,12,671,438,20,33,7,3,2,2012,1,1
Chelsea,49.2,2,9,639,426,19,30,7,3,1,2012,0,0
Sunderland,38.6,1,9,527,330,23,15,3,1,0,2012,1,0
Manchester United,61.4,8,14,754,541,21,52,6,3,1,2012,0,1
Swansea City,62.7,3,15,874,639,30,23,5,4,1,2012,1,0
Tottenham Hotspur,37.3,7,10,606,377,24,50,2,0,2,2012,0,1
West Ham United,39.5,5,14,519,291,13,64,5,3,3,2012,1,1
West Bromwich Albion,60.5,7,19,643,471,17,17,3,2,1,2012,0,0
Wigan Athletic,52.8,3,14,599,391,20,49,10,4,1,2012,1,1
Norwich City,47.2,0,7,540,345,18,28,3,4,0,2012,0,0
Aston Villa,46.5,4,10,678,452,27,19,7,3,1,2012,1,0
Liverpool,53.5,7,23,745,538,21,29,8,6,2,2012,0,1
Fulham,48.3,3,9,605,404,17,41,3,6,3,2012,1,1
Queens Park Rangers,51.7,7,21,633,432,16,15,6,4,2,2012,0,0
Norwich City,34.7,4,12,499,294,24,32,2,0,2,2012,1,2
Swansea City,65.3,7,18,795,571,18,40,5,1,2,2012,0,2
Reading,39.4,2,10,563,312,28,20,8,1,0,2012,1,0
Southampton,60.6,4,13,787,520,22,50,4,6,2,2012,0,1
Stoke City,45.6,3,13,529,333,15,22,4,2,1,2012,1,0
Aston Villa,54.4,6,12,606,406,22,39,2,3,3,2012,0,1
West Bromwich Albion,51.9,5,19,607,442,15,14,6,6,1,2012,1,0
Arsenal,48.1,6,11,608,419,15,41,4,1,2,2012,0,1
Chelsea,61.7,3,16,726,514,20,27,8,3,2,2012,1,1
Sunderland,38.3,0,8,513,319,23,26,5,1,1,2012,0,0
Liverpool,65.0,8,20,811,597,18,18,12,4,0,2012,1,2
West Ham United,35.0,1,11,541,315,29,47,2,0,0,2012,0,2
Newcastle United,49.6,5,28,622,404,20,24,10,4,1,2012,1,1
Fulham,50.4,2,8,634,432,20,46,3,0,0,2012,0,0
Queens Park Rangers,32.1,1,9,491,264,29,23,2,3,1,2012,1,2
Wigan Athletic,67.9,7,18,774,589,21,26,10,2,1,2012,0,2
Tottenham Hotspur,61.9,7,20,791,516,19,44,7,2,2,2012,1,2
Everton,38.1,4,9,541,309,34,44,6,2,2,2012,0,2
Manchester United,45.0,5,15,572,345,29,27,9,3,1,2012,1,0
Manchester City,55.0,3,10,654,438,23,42,4,1,2,2012,0,1
Arsenal,67.9,7,14,809,616,25,15,9,3,3,2012,1,1
Norwich City,32.1,4,5,484,287,19,38,3,4,1,2012,0,0
Aston Villa,48.7,4,18,641,439,19,17,8,5,1,2012,1,2
Fulham,51.3,0,10,665,475,15,40,5,2,1,2012,0,2
Everton,60.2,5,13,613,399,26,12,13,2,2,2012,1,1
Queens Park Rangers,39.8,3,10,511,276,24,52,5,6,0,2012,0,0
Reading,39.9,2,9,518,307,16,21,4,2,0,2012,1,2
Liverpool,60.1,11,28,729,503,19,35,9,6,0,2012,0,2
Southampton,61.2,5,19,659,429,23,39,7,3,1,2012,1,2
West Ham United,38.8,3,8,481,268,14,43,4,4,1,2012,0,2
Newcastle United,65.8,5,19,622,375,17,37,10,4,0,2012,1,0
Sunderland,34.2,6,10,409,186,22,39,9,2,3,2012,0,1
Stoke City,42.2,3,13,507,343,21,17,3,0,0,2012,1,0
Manchester United,57.8,4,11,672,472,19,38,7,2,2,2012,0,1
Arsenal,56.8,2,11,747,507,19,18,8,1,0,2012,1,2
Everton,43.2,2,12,614,389,33,35,1,2,0,2012,0,2
Fulham,52.8,2,11,681,469,23,17,6,3,0,2012,1,0
Chelsea,47.2,7,17,623,415,24,21,5,0,3,2012,0,1
Manchester City,50.4,2,12,668,461,15,13,5,6,1,2012,1,1
Wigan Athletic,49.6,4,10,641,456,21,12,4,2,0,2012,0,0
West Ham United,33.5,2,12,498,292,15,28,2,2,2,2012,1,2
Manchester United,66.5,6,17,794,598,20,35,5,1,2,2012,0,2
Fulham,28.8,3,7,480,285,17,19,7,8,0,2012,1,0
Arsenal,71.2,3,11,945,768,14,24,3,3,1,2012,0,1
Norwich City,45.5,8,20,548,349,13,22,8,5,2,2012,1,1
Reading,54.5,2,16,587,422,14,25,8,2,1,2012,0,0
Queens Park Rangers,48.9,5,23,488,267,21,35,5,4,0,2012,1,0
Stoke City,51.1,4,14,482,269,25,20,5,2,2,2012,0,1
Sunderland,36.4,4,8,442,248,20,33,3,1,1,2012,1,1
Everton,63.6,2,11,625,429,21,25,10,3,0,2012,0,0
Swansea City,54.7,3,14,728,502,23,30,7,3,0,2012,1,2
Southampton,45.3,4,9,640,426,22,25,2,0,0,2012,0,2
West Bromwich Albion,57.2,4,11,573,363,14,22,15,6,1,2012,1,2
Newcastle United,42.8,6,10,506,284,28,60,2,1,1,2012,0,2
West Ham United,36.6,8,20,483,268,14,45,3,4,2,2012,1,1
Wigan Athletic,63.4,8,19,669,480,19,17,6,2,0,2012,0,0
Liverpool,57.0,8,21,710,499,18,24,8,1,2,2012,1,2
Chelsea,43.0,5,11,592,385,24,22,5,1,2,2012,0,2
Tottenham Hotspur,45.3,6,11,615,394,24,30,4,4,3,2012,1,1
Manchester City,54.7,4,11,679,488,20,31,5,2,1,2012,0,0
Manchester United,51.9,4,12,740,553,25,15,5,4,3,2012,1,1
Aston Villa,48.1,4,9,693,528,23,20,3,0,0,2012,0,0
Everton,53.9,4,21,625,420,23,21,7,4,1,2012,1,1
Fulham,46.1,0,6,562,364,14,34,2,4,0,2012,0,0
Manchester City,62.0,8,17,766,554,19,41,9,3,2,2012,1,1
West Ham United,38.0,3,11,525,315,25,28,4,2,1,2012,0,0
Newcastle United,53.2,2,11,785,564,21,30,5,2,0,2012,1,0
Liverpool,46.8,9,16,695,494,31,24,7,5,6,2012,0,1
Southampton,61.7,3,17,678,450,14,24,7,2,0,2012,1,0
West Bromwich Albion,38.3,8,10,468,272,16,31,6,4,3,2012,0,1
Stoke City,47.5,3,12,501,327,14,19,6,4,1,2012,1,1
Norwich City,52.5,0,6,559,362,14,49,3,1,0,2012,0,0
Wigan Athletic,39.0,5,7,515,325,22,31,3,1,2,2012,1,2
Tottenham Hotspur,61.0,3,15,712,525,15,30,3,5,2,2012,0,2
Arsenal,51.8,6,19,678,499,18,19,7,1,1,2012,1,2
Manchester United,48.2,4,12,662,464,15,43,2,1,1,2012,0,2
Chelsea,51.8,8,24,730,536,16,16,6,3,2,2012,1,1
Swansea City,48.2,3,13,708,497,15,39,3,1,0,2012,0,0
Reading,46.1,5,16,521,311,14,32,9,1,0,2012,1,2
Queens Park Rangers,53.9,2,15,603,387,12,33,7,2,0,2012,0,2
Aston Villa,55.5,11,16,672,474,18,18,4,2,6,2012,1,1
Sunderland,44.5,2,10,582,376,22,38,4,1,1,2012,0,0
Fulham,49.0,10,22,620,409,18,25,3,2,2,2012,1,0
Reading,51.0,10,21,646,437,13,27,3,3,4,2012,0,1
Norwich City,53.7,2,9,571,386,11,20,6,2,1,2012,1,0
Aston Villa,46.3,4,13,531,342,15,49,5,1,2,2012,0,1
Queens Park Rangers,41.2,4,13,608,399,23,31,3,5,0,2012,1,0
Arsenal,58.8,7,12,811,582,22,25,7,5,1,2012,0,1
Swansea City,38.1,1,7,555,388,17,22,4,2,0,2012,1,2
Manchester City,61.9,3,12,792,640,8,17,4,2,0,2012,0,2
Tottenham Hotspur,49.5,1,6,630,393,18,43,5,5,1,2012,1,1
Southampton,50.5,3,8,616,407,21,30,5,2,0,2012,0,0
West Bromwich Albion,47.9,8,18,567,393,20,21,7,0,2,2012,1,0
Wigan Athletic,52.1,5,14,642,426,16,29,5,1,3,2012,0,1
West Ham United,45.8,3,10,452,272,16,31,7,6,0,2012,1,2
Newcastle United,54.2,3,12,529,342,16,47,3,4,0,2012,0,2
Liverpool,54.8,3,15,682,451,23,19,3,3,0,2012,1,2
Everton,45.2,2,11,596,366,33,31,5,1,0,2012,0,2
Manchester United,48.7,2,10,575,393,15,32,2,5,0,2012,1,0
Chelsea,51.3,3,17,579,414,16,18,7,2,1,2012,0,1
Sunderland,47.6,3,15,532,331,17,23,5,0,1,2012,1,2
Stoke City,52.4,3,12,551,367,17,23,6,3,1,2012,0,2
Manchester City,53.6,7,24,658,438,15,39,6,0,1,2012,1,1
West Bromwich Albion,46.4,7,20,585,378,12,26,8,1,0,2012,0,0
Wigan Athletic,53.3,8,16,689,488,19,13,4,1,2,2012,1,0
Swansea City,46.7,4,12,626,427,24,28,4,1,3,2012,0,1
Chelsea,44.1,5,15,545,335,29,22,6,3,2,2012,1,2
Tottenham Hotspur,55.9,5,14,675,437,21,44,5,3,2,2012,0,2
Aston Villa,43.2,2,15,595,366,19,32,6,4,1,2012,1,0
Chelsea,56.8,7,15,679,493,12,30,7,2,2,2012,0,1
Everton,64.7,7,28,702,493,11,24,7,3,2,2012,1,1
West Ham United,35.3,2,7,430,264,18,31,1,0,0,2012,0,0
Fulham,48.4,5,10,703,513,14,26,7,3,1,2012,1,0
Liverpool,51.6,7,20,735,544,23,24,8,2,3,2012,0,1
Manchester United,52.1,6,15,694,557,11,20,7,2,2,2012,1,1
Swansea City,47.9,2,9,667,507,7,29,5,0,1,2012,0,0
Norwich City,48.1,7,12,588,409,16,13,8,2,4,2012,1,1
West Bromwich Albion,51.9,4,8,628,451,17,36,2,2,0,2012,0,0
Queens Park Rangers,56.2,2,10,648,445,22,18,2,7,1,2012,1,0
Newcastle United,43.8,4,11,556,360,24,27,2,4,2,2012,0,1
Stoke City,32.7,1,6,431,231,25,31,2,0,1,2012,1,0
Tottenham Hotspur,67.3,7,25,746,516,11,53,11,4,2,2012,0,1
Sunderland,36.0,2,6,500,274,24,47,3,1,1,2012,1,2
Southampton,64.0,8,17,759,510,14,32,10,1,1,2012,0,2
Arsenal,47.5,10,21,646,452,24,14,7,2,4,2012,1,1
Wigan Athletic,52.5,2,11,724,513,13,18,4,5,1,2012,0,0
Reading,38.7,7,12,540,361,12,26,4,1,0,2012,1,0
Manchester City,61.3,11,30,780,597,12,21,10,2,2,2012,0,1
Chelsea,43.5,6,23,601,387,23,17,7,1,2,2012,1,1
Everton,56.5,7,20,734,524,22,29,4,1,1,2012,0,0
Liverpool,66.4,8,28,826,607,14,10,14,2,1,2012,1,1
Queens Park Rangers,33.6,0,11,532,311,24,42,0,1,0,2012,0,0
Manchester City,60.3,3,14,667,497,17,25,7,2,2,2012,1,0
Norwich City,39.7,7,17,505,317,14,24,7,2,3,2012,0,1
Newcastle United,50.7,1,7,656,467,20,24,4,2,0,2012,1,0
Arsenal,49.3,2,10,645,458,32,18,4,2,1,2012,0,1
Southampton,63.0,7,12,710,522,20,31,3,3,1,2012,1,2
Stoke City,37.0,3,8,482,296,17,35,4,2,1,2012,0,2
Swansea City,64.4,10,27,859,654,20,5,8,5,0,2012,1,0
Fulham,35.6,5,9,573,367,18,44,0,1,3,2012,0,1
Tottenham Hotspur,68.2,14,35,728,467,18,37,14,4,1,2012,1,1
Sunderland,31.8,3,8,448,222,24,43,1,2,0,2012,0,0
West Bromwich Albion,35.4,6,19,477,321,19,15,3,4,5,2012,1,2
Manchester United,64.6,6,15,779,601,15,20,5,2,5,2012,0,2
West Ham United,48.4,10,21,565,352,17,32,6,5,4,2012,1,1
Reading,51.6,6,17,551,369,15,26,4,0,2,2012,0,0
Wigan Athletic,54.0,4,17,683,512,25,22,4,2,2,2012,1,2
Aston Villa,46.0,3,8,625,432,15,13,2,4,2,2012,0,2
